objname ra dec cutout_size E_B_V_SandF mean_E_B_V_SandF stdev_E_B_V_SandF max_E_B_V_SandF min_E_B_V_SandF AV_SandF E_B_V_SFD mean_E_B_V_SFD stdev_E_B_V_SFD max_E_B_V_SFD min_E_B_V_SFD AV_SFD errmsg
NGC4389 186.3965 45.6846 5.0 0.0125 0.0125 0.0001 0.0128 0.0123 0.0388 0.0146 0.0145 0.0002 0.0148 0.0143 0.0451 ""
NGC2748 138.42917 76.47538 5.0 0.0228 0.0232 0.0012 0.0265 0.0213 0.0708 0.0266 0.0269 0.0013 0.0309 0.0247 0.0824 ""
NGC3423 162.80955 5.84005 5.0 0.0256 0.0256 0.0003 0.0262 0.0251 0.0792 0.0297 0.0298 0.0003 0.0305 0.0292 0.0921 ""
NGC7814 0.81213 16.14531 5.0 0.0385 0.0383 0.0003 0.0389 0.0372 0.1193 0.0448 0.0445 0.0004 0.0452 0.0433 0.1387 ""
NGC1055 40.43845 0.44333 5.0 0.0282 0.0283 0.0003 0.029 0.0274 0.0874 0.0328 0.0329 0.0004 0.0338 0.0319 0.1016 ""
NGC3169 153.56273 3.46608 5.0 0.0266 0.0266 0.0002 0.0268 0.0262 0.0826 0.031 0.0309 0.0002 0.0311 0.0304 0.096 ""
NGC3556 167.87881 55.67433 5.0 0.0145 0.0147 0.0013 0.0181 0.0134 0.045 0.0169 0.0171 0.0015 0.0211 0.0155 0.0523 ""
NGC3675 171.5357 43.58603 5.0 0.0169 0.017 0.0003 0.018 0.0162 0.0525 0.0197 0.0197 0.0003 0.0209 0.0188 0.0611 ""
NGC3941 178.23071 36.98633 5.0 0.0182 0.0181 0.0002 0.0183 0.0176 0.0564 0.0211 0.021 0.0002 0.0213 0.0205 0.0655 ""
NGC4088 181.39284 50.53939 5.0 0.0169 0.0169 0.0002 0.0173 0.0166 0.0524 0.0196 0.0197 0.0002 0.0201 0.0193 0.0609 ""
NGC4244 184.37272 37.80735 5.0 0.0179 0.0179 0.0001 0.018 0.0178 0.0555 0.0208 0.0208 0.0001 0.021 0.0207 0.0645 ""
NGC4262 184.87741 14.87765 5.0 0.0307 0.0306 0.0011 0.0329 0.0283 0.0951 0.0357 0.0356 0.0013 0.0382 0.033 0.1106 ""
NGC4472 187.44484 8.00048 5.0 0.0192 0.0191 0.0002 0.0198 0.0187 0.0595 0.0223 0.0222 0.0003 0.023 0.0217 0.0692 ""
NGC4551 188.90824 12.26395 5.0 0.0337 0.034 0.0013 0.0368 0.032 0.1046 0.0392 0.0395 0.0015 0.0428 0.0373 0.1216 ""
NGC5248 204.38343 8.88525 5.0 0.021 0.0211 0.0001 0.0214 0.0209 0.0652 0.0245 0.0245 0.0001 0.0248 0.0243 0.0758 ""
NGC5879 227.44468 57.00026 5.0 0.0106 0.0106 0.0001 0.0107 0.0105 0.033 0.0124 0.0124 0.0001 0.0125 0.0122 0.0384 ""
NGC4138 182.37417 43.68531 5.0 0.0121 0.0121 0.0001 0.0122 0.0119 0.0374 0.014 0.0141 0.0001 0.0142 0.0139 0.0435 ""
NGC2742 136.89012 60.47934 5.0 0.0335 0.0334 0.0005 0.0343 0.0319 0.1038 0.0389 0.0389 0.0005 0.0399 0.0371 0.1207 ""
NGC4468 187.37872 14.0491 5.0 0.0377 0.0376 0.0021 0.0417 0.034 0.1169 0.0438 0.0438 0.0025 0.0485 0.0395 0.1359 ""
NGC4647 190.88471 11.58278 5.0 0.0226 0.0227 0.0003 0.0234 0.022 0.0701 0.0263 0.0263 0.0004 0.0273 0.0255 0.0815 ""
NGC3338 160.53133 13.74705 5.0 0.0268 0.0268 0.0003 0.0272 0.0258 0.0831 0.0312 0.0311 0.0003 0.0316 0.03 0.0966 ""
NGC4448 187.06428 28.62033 5.0 0.0201 0.0198 0.0008 0.0209 0.0181 0.0624 0.0234 0.023 0.0009 0.0243 0.0211 0.0726 ""
NGC5033 198.36447 36.59392 5.0 0.0099 0.01 0.0003 0.011 0.0097 0.0307 0.0115 0.0117 0.0004 0.0128 0.0113 0.0358 ""
NGC6951 309.30883 66.1056 5.0 0.3194 0.3189 0.0086 0.3315 0.2981 0.9902 0.3714 0.3708 0.0099 0.3855 0.3466 1.1514 ""
NGC4051 180.79003 44.53131 5.0 0.0112 0.0112 0.0001 0.0114 0.011 0.0348 0.0131 0.0131 0.0001 0.0133 0.0128 0.0405 ""
NGC3227 155.8774 19.8651 5.0 0.0195 0.0194 0.0001 0.0197 0.0191 0.0604 0.0227 0.0226 0.0002 0.0229 0.0222 0.0703 ""
NGC3626 170.01585 18.35684 5.0 0.0167 0.0167 0.0003 0.0171 0.0162 0.0517 0.0194 0.0194 0.0003 0.0199 0.0189 0.0601 ""
NGC7280 336.6149 16.14819 5.0 0.0476 0.0475 0.0004 0.0481 0.0465 0.1477 0.0554 0.0552 0.0004 0.0559 0.054 0.1718 ""
NGC4123 182.04632 2.87834 5.0 0.0172 0.0172 0.0002 0.0175 0.017 0.0533 0.02 0.02 0.0002 0.0204 0.0198 0.062 ""
NGC3810 175.24486 11.47121 5.0 0.0378 0.0381 0.0007 0.0401 0.0368 0.1171 0.0439 0.0443 0.0008 0.0467 0.0427 0.1362 ""
NGC3368 161.69035 11.82 5.0 0.0217 0.0217 0.0002 0.0221 0.0214 0.0672 0.0252 0.0252 0.0002 0.0257 0.0249 0.0781 ""
NGC3705 172.53135 9.27667 5.0 0.0399 0.04 0.0009 0.0422 0.0386 0.1236 0.0464 0.0465 0.001 0.0491 0.0449 0.1438 ""
NGC4414 186.61312 31.22353 5.0 0.0167 0.0168 0.0002 0.0175 0.0165 0.0518 0.0194 0.0196 0.0003 0.0204 0.0192 0.0602 ""
